humanjobid,area
1532036,Rural
1531958,Urban
1532060,Urban
1530891,Urban
1531903,Urban
1531491,Urban
1532186,Rural
1532066,Rural
1531873,Urban
1531844,Rural
1531683,Rural
1531719,Urban
1531913,Rural
1532126,Rural
1531206,Rural
1531851,Rural
1531970,Urban
1530884,Urban
1531921,Rural
1531957,Urban
1532207,Urban
1531983,Urban
1532217,Urban
1531556,Rural
1532144,Urban
1531587,Rural
1531276,Rural
1532279,Urban
1532256,Rural
1531926,Rural
1532274,Rural
1532252,Rural
1531665,Rural
1531596,Urban
1531610,Rural
1531950,Rural
1531697,Urban
1531375,Urban
1531721,Rural
1528693,Rural
1531706,Urban
1532270,Rural
1532147,Rural
1531305,Urban
1531729,Urban
1531969,Rural
1532377,Urban
1531981,Urban
1531885,Urban
1531816,Urban
1532235,Urban
1531946,Urban
1532175,Urban
1531778,Rural
1531677,Urban
1532190,Urban
1531815,Rural
1531672,Rural
1531962,Urban
1531987,Rural
1531424,Rural
1531889,Rural
1532065,Rural
1531967,Rural
1531923,Rural
1531777,Rural
1531973,Rural
1532239,Rural
1531838,Urban
1532197,Rural
1532114,Rural
1532017,Urban
1532308,Rural
1532380,Urban
1531542,Rural
1532381,Rural
1531886,Rural
1532223,Rural
1532238,Urban
1532278,Rural
1532007,Rural
1531948,Urban
1531953,Urban
1532361,Urban
1532071,Urban
1532209,Rural
1532338,Urban
1532182,Rural
1532185,Rural
1531562,Urban
1532234,Rural
1532054,Urban
1532159,Urban
1532089,Urban
1532173,Urban
1532383,Rural
1532385,Rural
1532220,Rural
1531986,Rural
1532463,Urban
1532283,Urban
1532503,Urban
1531538,Rural
1532532,Rural
1532324,Rural
1532522,Urban
1532314,Urban
1532097,Rural
1532394,Rural
1532208,Urban
1531907,Rural
1532454,Urban
1532346,Urban
1532510,Rural
1532302,Rural
1532751,Rural
1532493,Urban
1532137,Urban
1532174,Urban
1532263,Rural
1532205,Rural
1532303,Urban
1532449,Rural
1532681,Rural
1532325,Rural
1532533,Rural
1532498,Rural
1532389,Rural
1532311,Urban
1532578,Rural
1532551,Rural
1532707,Urban
1532641,Urban
1532689,Rural
1532656,Rural
1532406,Urban
1532527,Urban
1532181,Urban
1532374,Rural
1532626,Urban
1532448,Rural
1532741,Rural
1532506,Rural
1531640,Urban
1532511,Rural
1532595,Urban
1532613,Rural
1532619,Urban
1532755,Urban
1532622,Urban
1532753,Urban
1532633,Urban
1532574,Rural
1532774,Urban
1532744,Rural
1532530,Urban
1532667,Rural
1532411,Rural
1532573,Rural
1532737,Rural
1532739,Urban
1532695,Rural
1532526,Urban
1532617,Urban
1532508,Rural
1532920,Urban
1532618,Rural
1532670,Urban
1533147,Urban
1532795,Rural
1533071,Rural
1533149,Urban
1532357,Rural
1532544,Urban
1533257,Urban
1533142,Rural
1533052,Rural
1532868,Rural
1532620,Urban
1532612,Urban
1531938,Urban
1532931,Urban
1532953,Urban
1532705,Urban
1533066,Rural
1532897,Rural
1532590,Urban
1532740,Rural
1532711,Urban
1533006,Urban
1532928,Rural
1533007,Urban
1533053,Urban
1532680,Rural
1532960,Urban
1532623,Urban
1531419,Rural
1532970,Urban
1531791,Rural
1533380,Rural
1533074,Rural
1532893,Rural
1532905,Urban
1532854,Rural
1532581,Urban
1533040,Rural
1532925,Rural
1533037,Urban
1532869,Rural
1533010,Urban
1532944,Rural
1533065,Rural
1533024,Urban
1532467,Urban
1532943,Rural
1532971,Urban
1533469,Rural
1533098,Rural
1533078,Urban
1532373,Urban
1533212,Rural
1533155,Urban
1533156,Urban
1533207,Rural
1532908,Rural
1532761,Rural
1532942,Urban
1533201,Urban
1532539,Urban
1533144,Urban
1532875,Rural
1533080,Urban
1532932,Rural
1533181,Rural
1533454,Rural
1533413,Rural
1531389,Urban
1533487,Urban
1532937,Rural
1533029,Rural
1533161,Rural
1533352,Rural
1533020,Rural
1533162,Urban
1532597,Urban
1533124,Rural
1533340,Urban
1529901,Rural
1533370,Urban
1533261,Urban
1533344,Urban
1533164,Urban
1533366,Rural
1533690,Rural
1533208,Rural
1533239,Rural
1533215,Rural
1533421,Rural
1533443,Rural
1533397,Urban
1533327,Urban
1532904,Rural
1533375,Rural
1533540,Urban
1533875,Urban
1533802,Urban
1533406,Urban
1533417,Urban
1533291,Rural
1533001,Rural
1533055,Rural
1533284,Rural
1533893,Rural
1533884,Rural
1533252,Rural
1532940,Urban
1533281,Urban
1533495,Rural
1533446,Rural
1533369,Rural
1533167,Urban
1533608,Urban
1533293,Urban
1533396,Rural
1533426,Rural
1533442,Rural
1533473,Rural
1533736,Rural
1533552,Rural
1533250,Rural
1533478,Rural
1533288,Rural
1533451,Rural
1533476,Urban
1533330,Rural
1533711,Urban
1533271,Urban
1533725,Urban
1533491,Urban
1533746,Rural
1533829,Urban
1533803,Urban
1533378,Rural
1533672,Urban
1533700,Urban
1531655,Rural
1533786,Urban
1533572,Rural
1533513,Rural
1533569,Rural
1533292,Urban
1527395,Urban
1533316,Urban
1531676,Rural
1533554,Urban
1533616,Urban
1534096,Rural
1533747,Urban
1533472,Rural
1533932,Rural
1533692,Urban
1533805,Urban
1533777,Urban
1533228,Rural
1533703,Rural
1533510,Rural
1533698,Rural
1533210,Rural
1533714,Rural
1533721,Rural
1533807,Rural
1533971,Rural
1533656,Urban
1533755,Rural
1534140,Rural
1533576,Rural
1534071,Rural
1533601,Urban
1534334,Urban
1533843,Urban
1533778,Urban
1534040,Urban
1534197,Rural
1533719,Urban
1533894,Rural
1534125,Rural
1533728,Urban
1534001,Rural
1533621,Urban
1534151,Urban
1533707,Urban
1534146,Rural
1534200,Rural
1534099,Rural
1533852,Rural
1534210,Urban
1533753,Urban
1534185,Rural
1534217,Rural
1533904,Rural
1533730,Rural
1534275,Rural
1534041,Urban
1534028,Rural
1534187,Urban
1534165,Urban
1533940,Rural
1533740,Rural
1534231,Rural
1534064,Rural
1534633,Rural
1534026,Rural
1533854,Rural
1534287,Urban
1533710,Rural
1534186,Rural
1533556,Rural
1533743,Urban
1531052,Urban
1533563,Rural
1534240,Rural
1534246,Rural
1534315,Urban
1534198,Rural
1534357,Rural
1534108,Urban
1532271,Rural
1534239,Rural
1534252,Urban
1534018,Urban
1534363,Rural
1534023,Urban
1534309,Urban
1534259,Urban
1534653,Rural
1533895,Rural
1534060,Urban
1534456,Urban
1534560,Rural
1534675,Urban
1534464,Rural
1534616,Urban
1534444,Urban
1534517,Urban
1534475,Rural
1534263,Rural
1534686,Urban
1534331,Urban
1533382,Urban
1534369,Rural
1534278,Rural
1534336,Urban
1534655,Rural
1534218,Urban
1533209,Rural
1534205,Urban
1534338,Urban
1534511,Urban
1534461,Rural
1534332,Rural
1534676,Urban
1534546,Rural
1534421,Rural
1534329,Rural
1531675,Rural
1534467,Rural
1534462,Rural
1534013,Rural
1534452,Rural
1534532,Rural
1534624,Urban
1534680,Urban
1533966,Urban
1534506,Urban
1534523,Rural
1534405,Rural
1534451,Rural
1534471,Urban
1534407,Urban
1534575,Rural
1534521,Rural
1534786,Urban
1534732,Rural
1534694,Urban
1534784,Rural
1534885,Rural
1534970,Rural
1534718,Rural
1534557,Rural
1534830,Rural
1534719,Rural
1534919,Rural
1534617,Urban
1534346,Rural
1534918,Rural
1532891,Urban
1534924,Urban
1534529,Rural
1534555,Rural
1534628,Urban
1534554,Rural
1534988,Rural
1535019,Rural
1534760,Urban
1535093,Rural
1534672,Rural
1534910,Rural
1534906,Urban
1535036,Rural
1534668,Rural
1534610,Rural
1534061,Rural
1534647,Rural
1534637,Urban
1535205,Rural
1534709,Urban
1535055,Rural
1535194,Urban
1535169,Urban
1534749,Rural
1534422,Urban
1534800,Rural
1534755,Rural
1534632,Urban
1534629,Urban
1534809,Urban
1535262,Rural
1534823,Rural
1527442,Rural
1535219,Rural
1534921,Urban
1535270,Rural
1534707,Rural
1534834,Rural
1534404,Urban
1534660,Rural
1535325,Urban
1534826,Urban
1534687,Rural
1535155,Rural
1534976,Urban
1534896,Rural
1534598,Urban
1534544,Rural
1535222,Urban
1534282,Rural
1534837,Rural
1535230,Urban
1535300,Rural
1535382,Rural
1535351,Rural
1534842,Rural
1535018,Urban
1534744,Rural
1535097,Urban
1534879,Rural
1534871,Urban
1535353,Rural
1534874,Rural
1535107,Rural
1535480,Urban
1535192,Urban
1534907,Rural
1535134,Rural
1534573,Rural
1535446,Urban
1535565,Rural
1534688,Rural
1535427,Rural
1535087,Rural
1535407,Urban
1532500,Rural
1534706,Rural
1535040,Rural
1535304,Urban
1535376,Urban
1535640,Urban
1535277,Rural
1535315,Rural
1535487,Urban
1535164,Rural
1535530,Urban
1535124,Rural
1535587,Urban
1535708,Rural
1535649,Rural
1535493,Urban
1535120,Rural
1534313,Rural
1535499,Urban
1535123,Urban
1535156,Rural
1535552,Rural
1535745,Rural
1534720,Urban
1535753,Rural
1535577,Urban
1535285,Urban
1535401,Urban
1535786,Rural
1535750,Rural
1535791,Rural
1535383,Urban
1535216,Rural
1535572,Rural
1535751,Urban
1535528,Rural
1535520,Urban
1535078,Urban
1535358,Urban
1535263,Urban
1535734,Urban
1534965,Rural
1535151,Rural
1534516,Urban
1535305,Rural
1535221,Rural
1535347,Rural
1535704,Urban
1535309,Rural
1535291,Rural
1534972,Rural
1535403,Urban
1535852,Rural
1534963,Rural
1535930,Urban
1535046,Rural
1535393,Urban
1534912,Urban
1535157,Rural
1535020,Urban
1535574,Rural
1531954,Urban
1535182,Urban
1535400,Rural
1535159,Rural
1535534,Rural
1535396,Urban
1535226,Rural
1535502,Rural
1535461,Rural
1535578,Rural
1535705,Rural
1535862,Rural
1535312,Rural
1535496,Urban
1535316,Rural
1535672,Rural
1535580,Rural
1530502,Rural
1535448,Rural
1535609,Urban
1535323,Urban
1535389,Rural
1535758,Urban
1535615,Urban
1535610,Rural
1535559,Urban
1535739,Urban
1535787,Rural
1535620,Urban
1535697,Urban
1535952,Urban
1535174,Urban
1535635,Urban
1535659,Urban
1535902,Rural
1535811,Rural
1536198,Urban
1535651,Urban
1535799,Rural
1535856,Rural
1536162,Urban
1535727,Rural
1535439,Urban
1535684,Urban
1535760,Rural
1536209,Rural
1533435,Rural
1535633,Rural
1536294,Rural
1535946,Urban
1535842,Urban
1535586,Urban
1536195,Urban
1536325,Rural
1536190,Rural
1536213,Rural
1535680,Urban
1536280,Rural
1536044,Urban
1536046,Rural
1536151,Rural
1536337,Urban
1536186,Urban
1535671,Rural
1535207,Urban
1536153,Rural
1535815,Rural
1536142,Rural
1536339,Rural
1536159,Rural
1536248,Rural
1536045,Urban
1536158,Rural
1536211,Rural
1536250,Rural
1535882,Urban
1536302,Rural
1535925,Urban
1536333,Urban
1535821,Rural
1536273,Rural
1535890,Rural
1536196,Rural
1535165,Rural
1536320,Rural
1531773,Rural
1536338,Urban
1536216,Rural
1536207,Rural
1535984,Rural
1532909,Urban
1536240,Rural
1536118,Rural
1536514,Urban
1535570,Rural
1536245,Rural
1536356,Urban
1536083,Rural
1536336,Rural
1535539,Urban
1535350,Rural
1535881,Urban
1536066,Rural
1535879,Urban
1536453,Urban
1535526,Urban
1535551,Rural
1535545,Urban
1535429,Rural
1535724,Rural
1536185,Rural
1535944,Urban
1535416,Rural
1536101,Rural
1536183,Rural
1535923,Urban
1536059,Urban
1536176,Urban
1536172,Urban
1536316,Urban
1535788,Rural
1536318,Urban
1536036,Rural
1536709,Urban
1536060,Rural
1535816,Rural
1536496,Rural
1536167,Rural
1536179,Urban
1536279,Rural
1536144,Urban
1536125,Urban
1536251,Urban
1536519,Rural
1536484,Rural
1536552,Urban
1535908,Rural
1536605,Urban
1536739,Rural
1536573,Rural
1536263,Urban
1536473,Urban
1536697,Rural
1536633,Rural
1535808,Urban
1536497,Rural
1536626,Rural
1536813,Urban
1536771,Rural
1536513,Urban
1536807,Urban
1536289,Rural
1536618,Urban
1536539,Urban
1536609,Rural
1536500,Urban
1536682,Rural
1536720,Urban
1536765,Rural
1535961,Rural
1536357,Urban
1536410,Urban
1536506,Rural
1532225,Rural
1536713,Rural
1536640,Rural
1536515,Rural
1536434,Urban
1536401,Rural
1536717,Urban
1536123,Urban
1536201,Urban
1536491,Rural
1536483,Urban
1536785,Urban
1536504,Urban
1536493,Rural
1536351,Rural
1536392,Rural
1536812,Rural
1536502,Urban
1536735,Rural
1536371,Urban
1536555,Rural
1536390,Urban
1536826,Rural
1536708,Urban
1536360,Urban
1536886,Urban
1536665,Urban
1537039,Urban
1535695,Urban
1536715,Urban
1536816,Urban
1536838,Rural
1536781,Urban
1536976,Urban
1536779,Urban
1536811,Rural
1537200,Rural
1537206,Rural
1536033,Rural
1536959,Urban
1537102,Urban
1536856,Urban
1537058,Rural
1536679,Rural
1536696,Urban
1536804,Rural
1536864,Urban
1537627,Rural
1536761,Urban
1536823,Rural
1536824,Rural
1536747,Urban
1536638,Rural
1536871,Rural
1536862,Urban
1536686,Rural
1537053,Urban
1537136,Rural
1536370,Rural
1537041,Urban
1536834,Rural
1536942,Rural
1537233,Rural
1536861,Rural
1537096,Rural
1536145,Rural
1537465,Rural
1537113,Rural
1536997,Urban
1537023,Urban
1537036,Rural
1537075,Rural
1536792,Urban
1537328,Urban
1536560,Rural
1537185,Rural
1537042,Rural
1537130,Rural
1537008,Rural
1535550,Urban
1536840,Urban
1536885,Rural
1537167,Rural
1537082,Rural
1537191,Rural
1536412,Rural
1537064,Urban
1537032,Urban
1537060,Urban
1537196,Rural
1537193,Rural
1537342,Rural
1537065,Rural
1537227,Rural
1537308,Urban
1537415,Rural
1537057,Rural
1537199,Rural
1537052,Urban
1537260,Urban
1537251,Urban
1537146,Rural
1537026,Rural
1537165,Rural
1537323,Rural
1537103,Rural
